#1
# Data Source: Simbench Dataset
# type: measured profile
# load profile: L2-M
# source: Simbench
# scaling: P = 343.4 kW Q = 135.6 kVAr
# timezone: UTC
float p_q(35136,3)
337500 0.372947 0.319282
338400 0.38764 0.320376
339300 0.395419 0.316002
340200 0.342264 0.279919
341100 0.337511 0.291946
342000 0.325843 0.294133
342900 0.317632 0.2996
343800 0.287813 0.311628
344700 0.203544 0.286479
345600 0.191011 0.256957
346500 0.201815 0.29304
347400 0.188418 0.260237
348300 0.196629 0.274452
349200 0.19274 0.273358
350100 0.188418 0.250396
351000 0.160761 0.162921
351900 0.135696 0.079821
352800 0.133535 0.065606
353700 0.146067 0.072167
354600 0.140882 0.059045
355500 0.140882 0.074353
356400 0.13656 0.07654
357300 0.143475 0.065606
358200 0.146067 0.077634
359100 0.141314 0.07654
360000 0.134831 0.067793
360900 0.135264 0.063419
361800 0.132671 0.049204
362700 0.146932 0.084194
363600 0.136128 0.063419
364500 0.132239 0.054672
365400 0.163786 0.162921
366300 0.194036 0.242742
367200 0.199654 0.259143
368100 0.213051 0.285386
369000 0.235955 0.303974
369900 0.318064 0.268984
370800 0.399741 0.232901
371700 0.454624 0.21978
372600 0.45592 0.230714
373500 0.489628 0.224154
374400 0.496975 0.21978
375300 0.466724 0.228527
376200 0.409248 0.266797
377100 0.41573 0.237275
378000 0.436474 0.238368
378900 0.511236 0.209939
379800 0.496111 0.185883
380700 0.479689 0.213219
381600 0.442956 0.233995
382500 0.49395 0.225247
383400 0.511236 0.220873
384300 0.510804 0.237275
385200 0.458513 0.237275
386100 0.475799 0.211032
387000 0.488332 0.243835
387900 0.462403 0.228527
388800 0.452463 0.239462
389700 0.451599 0.204472
390600 0.450735 0.189164
391500 0.454624 0.221967
392400 0.44771 0.209939
393300 0.418755 0.204472
394200 0.417891 0.236181
395100 0.425238 0.221967
396000 0.425238 0.221967
396900 0.41357 0.230714
397800 0.431288 0.242742
398700 0.461538 0.305068
399600 0.442524 0.302881
400500 0.467156 0.314909
401400 0.435177 0.332403
402300 0.427398 0.307254
403200 0.458081 0.321469
404100 0.436906 0.326936
405000 0.433016 0.274452
405900 0.426102 0.281012
406800 0.414002 0.270078
407700 0.412705 0.242742
408600 0.410977 0.281012
409500 0.401037 0.253676
410400 0.407952 0.274452
411300 0.420916 0.279919
412200 0.398012 0.256957
413100 0.367761 0.29304
414000 0.345722 0.284292
414900 0.351772 0.266797
415800 0.360847 0.2996
416700 0.347882 0.354272
417600 0.450735 0.410037
418500 0.47191 0.383795
419400 0.452895 0.359739
420300 0.444252 0.36958
421200 0.43172 0.377234
422100 0.414866 0.376141
423000 0.406223 0.365206
423900 0.385912 0.361926
424800 0.36344 0.344431
425700 0.363008 0.348805
426600 0.3414 0.342244
427500 0.333189 0.33131
428400 0.330596 0.370674
429300 0.32325 0.336777
430200 0.294296 0.348805
431100 0.221262 0.32803
432000 0.202679 0.29632
432900 0.213915 0.317095
433800 0.218237 0.303974
434700 0.213483 0.305068
435600 0.211322 0.312722
436500 0.199222 0.284292
437400 0.173293 0.18479
438300 0.168971 0.141053
439200 0.144771 0.083101
440100 0.149525 0.099502
441000 0.156439 0.110437
441900 0.155575 0.106063
442800 0.156007 0.109343
443700 0.15471 0.11153
444600 0.154278 0.103876
445500 0.156007 0.112624
446400 0.15255 0.101689
447300 0.148228 0.090755
448200 0.1586 0.119184
449100 0.150389 0.097315
450000 0.151253 0.091848
450900 0.156439 0.121371
451800 0.171132 0.185883
452700 0.194036 0.268984
453600 0.216508 0.294133
454500 0.238548 0.310535
455400 0.27701 0.318189
456300 0.267934 0.311628
457200 0.332325 0.294133
458100 0.386776 0.28976
459000 0.411841 0.279919
459900 0.450735 0.264611
460800 0.43172 0.330217
461700 0.43172 0.276638
462600 0.440795 0.287573
463500 0.44771 0.312722
464400 0.446845 0.267891
465300 0.471478 0.283199
466200 0.47191 0.274452
467100 0.44382 0.273358
468000 0.439499 0.281012
468900 0.461106 0.278825
469800 0.447277 0.277732
470700 0.445549 0.281012
471600 0.449438 0.279919
472500 0.459378 0.272265
473400 0.458946 0.294133
474300 0.458513 0.279919
475200 0.457649 0.277732
476100 0.473639 0.285386
477000 0.473207 0.253676
477900 0.454624 0.256957
478800 0.44987 0.260237
479700 0.436474 0.248209
480600 0.468453 0.271171
481500 0.415298 0.268984
482400 0.406655 0.251489
483300 0.462403 0.229621
484200 0.490925 0.201192
485100 0.445549 0.276638
486000 0.405359 0.25805
486900 0.392826 0.267891
487800 0.403198 0.283199
488700 0.42567 0.264611
489600 0.394123 0.290853
490500 0.39153 0.326936
491400 0.392394 0.312722
492300 0.39758 0.313815
493200 0.390233 0.316002
494100 0.360847 0.326936
495000 0.383319 0.336777
495900 0.327139 0.32803
496800 0.337943 0.333497
497700 0.367761 0.340057
498600 0.382887 0.33131
499500 0.367329 0.349898
500400 0.34745 0.33459
501300 0.302506 0.347711
502200 0.302506 0.350992
503100 0.347882 0.373954
504000 0.411409 0.371767
504900 0.433016 0.377234
505800 0.377701 0.371767
506700 0.401901 0.368487
507600 0.402766 0.365206
508500 0.37554 0.350992
509400 0.368626 0.354272
510300 0.378133 0.32803
511200 0.370354 0.306161
512100 0.348747 0.335684
513000 0.33535 0.324749
513900 0.330596 0.338964
514800 0.328436 0.356459
515700 0.319793 0.333497
516600 0.316768 0.324749
517500 0.262748 0.341151
518400 0.201383 0.283199
519300 0.207001 0.305068
520200 0.213483 0.312722
521100 0.208729 0.307254
522000 0.21089 0.309441
522900 0.195765 0.284292
523800 0.168971 0.192444
524700 0.15471 0.116997
525600 0.14261 0.084194
526500 0.151685 0.103876
527400 0.147364 0.10497
528300 0.148228 0.088568
529200 0.154278 0.103876
530100 0.156871 0.109343
531000 0.155143 0.11481
531900 0.154278 0.11153
532800 0.15471 0.106063
533700 0.156871 0.121371
534600 0.147364 0.099502
535500 0.146067 0.094035
536400 0.155143 0.110437
537300 0.155143 0.106063
