#1
# Data Source: Simbench Dataset
# type: measured profile
# load profile: G3-A
# source: Simbench
# scaling: P = 225.7 kW Q = 89.1 kVAr
# timezone: UTC
float p_q(35136,3)
274500 0.282676 0.173645 
275400 0.302742 0.236942 
276300 0.270903 0.15672 
277200 0.277592 0.186169 
278100 0.301003 0.224418 
279000 0.275987 0.165182 
279900 0.339532 0.190569 
280800 0.406421 0.266729 
281700 0.344482 0.135395 
282600 0.371237 0.190569 
283500 0.431438 0.262329 
284400 0.446555 0.160782 
285300 0.454849 0.211555 
286200 0.434783 0.270791 
287100 0.403077 0.220018 
288000 0.438127 0.207494 
288900 0.438127 0.245404 
289800 0.443211 0.186169 
290700 0.526823 0.317502 
291600 0.498328 0.253866 
292500 0.471572 0.266729 
293400 0.526823 0.338489 
294300 0.627157 0.575431 
295200 0.538462 0.46136 
296100 0.511706 0.363875 
297000 0.677324 0.727751 
297900 0.595318 0.393662 
298800 0.533512 0.376738 
299700 0.503411 0.351351 
300600 0.555184 0.342889 
301500 0.481605 0.397724 
302400 0.433177 0.300578 
303300 0.448161 0.363875 
304200 0.403077 0.406186 
305100 0.397993 0.321564 
306000 0.377926 0.253866 
306900 0.461538 0.410587 
307800 0.448161 0.414649 
308700 0.356254 0.351351 
309600 0.469967 0.516195 
310500 0.523478 0.545982 
311400 0.531773 0.622142 
312300 0.48 0.389262 
313200 0.540201 0.397724 
314100 0.444816 0.241342 
315000 0.451505 0.300578 
315900 0.500067 0.346951 
316800 0.511706 0.440035 
317700 0.826087 104.085 
318600 0.466622 0.334427 
319500 0.483344 0.3808 
320400 0.476656 0.355413 
321300 0.463278 0.279253 
322200 0.491639 0.406186 
323100 0.615385 0.605218 
324000 0.647224 0.698302 
324900 0.488294 0.368276 
325800 0.464883 0.346951 
326700 0.5101 0.30904 
327600 0.419799 0.177707 
328500 0.466622 0.30904 
329400 0.408027 0.203093 
330300 0.428094 0.199031 
331200 0.408027 0.253866 
332100 0.406421 0.211555 
333000 0.369632 0.203093 
333900 0.406421 0.270791 
334800 0.351171 0.177707 
335700 0.349565 0.199031 
336600 0.376321 0.249805 
337500 0.334448 0.143858 
338400 0.346221 0.211555 
339300 0.312776 0.190569 
340200 0.326154 0.160782 
341100 0.354515 0.190569 
342000 0.304348 0.220018 
342900 0.280936 0.148258 
343800 0.329498 0.262329 
344700 0.35786 0.173645 
345600 0.342876 0.182107 
346500 0.349565 0.270791 
347400 0.309431 0.186169 
348300 0.329498 0.15672 
349200 0.347826 0.203093 
350100 0.346221 0.241342 
351000 0.29097 0.139796 
351900 0.342876 0.253866 
352800 0.28602 0.148258 
353700 0.433177 0.160782 
354600 0.372977 0.173645 
355500 0.341137 0.165182 
356400 0.301003 0.093084 
357300 0.349565 0.23288 
358200 0.339532 0.207494 
359100 0.366288 0.224418 
360000 0.359599 0.275191 
360900 0.322809 0.22848 
361800 0.304348 0.199031 
362700 0.346221 0.253866 
363600 0.322809 0.23288 
364500 0.299398 0.177707 
365400 0.411371 0.296178 
366300 0.342876 0.186169 
367200 0.329498 0.186169 
368100 0.372977 0.236942 
369000 0.366288 0.173645 
369900 0.371237 0.160782 
370800 0.419799 0.23288 
371700 0.389699 0.215956 
372600 0.401338 0.266729 
373500 0.336187 0.148258 
374400 0.329498 0.160782 
375300 0.354515 0.186169 
376200 0.339532 0.186169 
377100 0.376321 0.203093 
378000 0.423144 0.313102 
378900 0.386355 0.211555 
379800 0.406421 0.292116 
380700 0.361204 0.359813 
381600 0.332843 0.317502 
382500 0.341137 0.334427 
383400 0.377926 0.3852 
384300 0.332843 0.338489 
385200 0.374582 0.3808 
386100 0.347826 0.283653 
387000 0.401338 0.355413 
387900 0.361204 0.3808 
388800 0.384615 0.431573 
389700 0.476656 0.622142 
390600 0.317726 0.296178 
391500 0.416455 0.346951 
392400 0.372977 0.30464 
393300 0.389699 0.372337 
394200 0.309431 0.300578 
395100 0.346221 0.342889 
396000 0.439866 0.490809 
396900 0.354515 0.30904 
397800 0.386355 0.435973 
398700 0.311037 0.262329 
399600 0.441472 0.275191 
400500 0.391304 0.338489 
401400 0.351171 0.258267 
402300 0.630502 0.68984 
403200 0.339532 0.351351 
404100 0.347826 0.389262 
405000 0.38301 0.215956 
405900 0.404682 0.23288 
406800 0.384615 0.22848 
407700 0.473311 0.330026 
408600 0.384615 0.224418 
409500 0.426488 0.330026 
410400 0.434783 0.338489 
411300 0.421405 0.334427 
412200 0.464883 0.325965 
413100 0.448161 0.275191 
414000 0.58194 0.190569 
414900 0.471572 0.317502 
415800 0.411371 0.169244 
416700 0.369632 0.224418 
417600 0.32107 0.118471 
418500 0.518395 0.545982 
419400 0.329498 0.15232 
420300 0.356254 0.23288 
421200 0.301003 0.135395 
422100 0.359599 0.22848 
423000 0.306087 0.122871 
423900 0.314381 0.143858 
424800 0.341137 0.207494 
425700 0.31612 0.114409 
426600 0.324415 0.15672 
427500 0.327759 0.186169 
428400 0.292709 0.160782 
429300 0.272642 0.15232 
430200 0.341137 0.190569 
431100 0.331104 0.165182 
432000 0.339532 0.148258 
432900 0.346221 0.253866 
433800 0.292709 0.110009 
434700 0.339532 0.169244 
435600 0.346221 0.186169 
436500 0.356254 0.245404 
437400 0.314381 0.143858 
438300 0.381271 0.275191 
439200 0.356254 0.15672 
440100 0.376321 0.139796 
441000 0.334448 0.135395 
441900 0.304348 0.122871 
442800 0.302742 0.08056 
443700 0.331104 0.169244 
444600 0.299398 0.173645 
445500 0.284281 0.173645 
446400 0.344482 0.287715 
447300 0.269298 0.15672 
448200 0.287625 0.207494 
449100 0.306087 0.23288 
450000 0.346221 0.224418 
450900 0.324415 0.215956 
451800 0.351171 0.258267 
452700 0.32107 0.220018 
453600 0.334448 0.207494 
454500 0.379666 0.169244 
455400 0.408027 0.190569 
456300 0.421405 0.186169 
457200 0.397993 0.23288 
458100 0.391304 0.186169 
459000 0.414716 0.224418 
459900 0.374582 0.177707 
460800 0.35291 0.126933 
461700 0.397993 0.220018 
462600 0.603746 0.478284 
463500 0.416455 0.211555 
464400 0.48 0.355413 
465300 0.433177 0.330026 
466200 0.448161 0.262329 
467100 0.530167 0.397724 
