#1																		
# Stochastic profile for distance of vehicle driven, created with the LoadProfileGenerator https://github.com/loadprofilegenerator/LoadProfileGenerator 																		
# profiles correspond to different family homes with varying commuting distances																		
# even columns correspond to distance data, odd colums to location																		
# numbers in location column indicate where the vehicle is plugged in for charging: 0: not plugged, 1: home, 2: work, 3: public, 4: fast, 5: superfast																		
# ID			IN03_37_20		IN03_110_30		IN05_220_25		IN05_110_10		IN20_110_15		IN20_220_25		IN21_110_5	IN31_330_30		
# km/year	17484.78		30608.076		17816.448		15731.82		14323.476		18961.848		10877.316		84.195			
																		
double	default(35040,17)																	
80100	0	3	14940	0	0	1	0	1	0	1	0	1	0	1	0	1		
81000	10956	0	13944	0	0	1	0	1	0	1	0	1	0	1	0	1		
81900	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
82800	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
83700	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
84600	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
85500	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
86400	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
87300	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
88200	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
89100	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
90000	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
90900	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
91800	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
92700	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
93600	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
94500	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
95400	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
96300	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
97200	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
98100	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
99000	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
99900	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
100800	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
101700	0	1	0	1	0	1	0	1	0	1	0	1	3984	0	11952	0		
102600	0	1	0	1	0	1	0	1	0	1	0	1	1992	0	8964	0		
103500	0	1	0	1	0	1	0	1	0	1	0	1	0	2	0	2		
104400	0	1	0	1	0	1	0	1	0	1	0	1	0	2	0	2		
105300	0	1	10956	0	0	1	0	1	0	1	0	1	0	2	0	2		
106200	0	1	14940	0	996	0	0	1	0	1	0	1	0	2	0	2		
107100	0	1	4980	0	14940	0	0	1	0	1	0	1	0	2	0	5		
108000	0	1	0	2	9960	0	0	1	0	1	0	1	0	2	0	5		
108900	0	1	0	2	0	2	0	1	0	1	0	1	0	2	0	5		
109800	0	1	0	2	0	2	0	1	0	1	0	1	0	2	0	5		
110700	0	1	0	2	0	2	0	1	0	1	5976	0	0	2	0	5		
111600	0	1	0	2	0	2	0	1	0	1	0	3	0	2	0	5		
112500	0	1	0	2	0	2	2988	0	0	1	0	3	0	2	0	5		
113400	0	1	0	2	0	2	7968	0	0	1	0	3	0	2	0	5		
114300	7968	0	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
115200	0	3	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
116100	0	3	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
117000	0	3	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
117900	0	3	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
118800	0	3	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
119700	0	3	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
120600	0	3	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
121500	0	3	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
122400	0	3	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
123300	3984	0	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
124200	14940	0	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
125100	1992	0	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
126000	0	2	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
126900	0	2	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
127800	0	2	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
128700	0	2	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
129600	0	2	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
130500	0	2	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
131400	0	2	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
132300	0	2	0	2	0	2	0	2	0	1	0	3	0	2	0	5		
133200	0	2	0	2	0	2	0	2	0	1	5976	0	0	2	0	5		
134100	0	2	3984	0	0	2	0	2	0	1	0	1	0	2	0	5		
135000	0	2	14940	0	0	2	0	2	0	1	0	1	0	2	4980	0		
135900	0	2	11952	0	0	2	0	2	0	1	0	1	5976	0	14940	0		
136800	0	2	0	1	0	2	0	2	0	1	0	1	0	1	996	0		
137700	0	2	996	0	0	2	0	2	0	1	0	1	0	1	0	1		
138600	0	2	6972	0	0	2	0	2	0	1	0	1	0	1	0	1		
139500	0	2	0	3	0	2	0	2	0	1	0	1	0	1	7968	0		
140400	0	2	0	3	0	2	996	0	6972	0	0	1	0	1	0	3		
141300	0	2	0	3	0	2	9960	0	14940	0	0	1	0	1	0	3		
142200	0	2	0	3	0	2	0	1	14940	0	0	1	0	1	0	3		
143100	0	2	0	3	0	2	0	1	8964	0	0	1	0	1	0	3		
144000	0	2	0	3	0	2	0	1	0	3	0	1	0	1	0	3		
144900	0	2	7968	0	12948	0	0	1	0	3	0	1	10956	0	0	3		
145800	0	2	0	1	12948	0	0	1	0	3	5976	0	0	3	0	3		
146700	0	2	0	1	0	1	0	1	0	3	1992	0	0	3	0	3		
147600	0	2	0	1	0	1	0	1	0	3	0	3	0	3	0	3		
148500	0	2	0	1	0	1	0	1	0	3	0	3	0	3	7968	0		
149400	0	2	0	1	0	1	0	1	0	3	0	3	0	3	0	1		
150300	0	2	0	1	0	1	0	1	0	3	0	3	0	3	0	1		
151200	0	2	0	1	0	1	0	1	0	3	0	3	0	3	0	1		
152100	11952	0	0	1	0	1	0	1	0	3	0	3	0	3	0	1		
153000	8964	0	0	1	7968	0	0	1	0	3	0	3	0	3	0	1		
153900	0	1	0	1	0	3	0	1	0	3	0	3	0	3	0	1		
154800	0	1	0	1	0	3	0	1	0	3	7968	0	6972	0	0	1		
155700	0	1	0	1	0	3	0	1	0	3	0	1	3984	0	0	1		
156600	0	1	0	1	0	3	0	1	0	3	0	1	0	1	0	1		
157500	0	1	0	1	0	3	0	1	12948	0	0	1	0	1	0	1		
158400	0	1	0	1	0	3	0	1	14940	0	0	1	0	1	0	1		
159300	0	1	0	1	0	3	0	1	14940	0	0	1	0	1	0	1		
160200	0	1	0	1	0	3	0	1	2988	0	0	1	0	1	0	1		
161100	0	1	0	1	7968	0	0	1	0	1	0	1	0	1	0	1		
162000	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
162900	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
163800	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
164700	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
165600	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
166500	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
167400	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
168300	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
169200	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
170100	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
171000	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
171900	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
172800	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
173700	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
174600	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
175500	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
176400	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
177300	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
178200	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
179100	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
180000	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
180900	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
181800	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
182700	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
183600	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
184500	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
185400	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
186300	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
187200	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
188100	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
189000	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1		
189900	0	1	13944	0	0	1	0	1	0	1	0	1	0	1	0	1		
190800	0	1	14940	0	0	1	0	1	0	1	0	1	0	1	7968	0		
191700	0	1	1992	0	0	1	0	1	0	1	0	1	0	1	12948	0		
192600	0	1	0	2	0	1	0	1	0	1	0	1	0	1	0	5		
193500	0	1	0	2	0	1	0	1	5976	0	1992	0	0	1	0	5		
194400	0	1	0	2	0	1	0	1	0	3	14940	0	0	1	0	5		
195300	0	1	0	2	11952	0	0	1	0	3	8964	0	5976	0	0	5		
196200	0	1	0	2	13944	0	0	1	0	3	0	2	0	2	0	5		
197100	0	1	0	2	0	2	5976	0	0	3	0	2	0	2	0	5		
198000	0	1	0	2	0	2	0	3	0	3	0	2	0	2	0	5		
198900	0	1	0	2	0	2	0	3	0	3	0	2	0	2	0	5		
199800	0	1	0	2	0	2	0	3	0	3	0	2	0	2	0	5		
